Date,DateTime,Rate,From,To
2016-10-26,2016-10-26 17:00:00,6205.743026743883,EUR,PYG
2016-10-27,2016-10-27 17:00:00,6208.38296071648,EUR,PYG
2016-10-28,2016-10-28 17:00:00,6218.785226081035,EUR,PYG
2016-10-29,2016-10-29 17:00:00,6292.5793170146535,EUR,PYG
2016-10-30,2016-10-30 17:00:00,6292.5486420418365,EUR,PYG
2016-10-31,2016-10-31 17:00:00,6274.9934339313995,EUR,PYG
2016-11-01,2016-11-01 17:00:00,6272.815255160535,EUR,PYG
2016-11-02,2016-11-02 17:00:00,6268.650308145624,EUR,PYG
2016-11-03,2016-11-03 17:00:00,6368.678552658605,EUR,PYG
2016-11-04,2016-11-04 17:00:00,6377.285886494009,EUR,PYG
2016-11-05,2016-11-05 17:00:00,6377.964324369589,EUR,PYG
2016-11-06,2016-11-06 16:00:00,6385.127004790873,EUR,PYG
2016-11-07,2016-11-07 16:00:00,6324.9138906164535,EUR,PYG
2016-11-08,2016-11-08 16:00:00,6357.396648541055,EUR,PYG
2016-11-09,2016-11-09 16:00:00,6334.400213268564,EUR,PYG
2016-11-10,2016-11-10 16:00:00,6272.467540067406,EUR,PYG
2016-11-11,2016-11-11 16:00:00,6256.810357682933,EUR,PYG
2016-11-12,2016-11-12 16:00:00,6219.402314791815,EUR,PYG
2016-11-13,2016-11-13 16:00:00,6219.350950248984,EUR,PYG
2016-11-14,2016-11-14 16:00:00,6200.949270457528,EUR,PYG
2016-11-15,2016-11-15 16:00:00,6197.358701878145,EUR,PYG
2016-11-16,2016-11-16 16:00:00,6161.744703648015,EUR,PYG
2016-11-17,2016-11-17 16:00:00,6164.464814129811,EUR,PYG
2016-11-18,2016-11-18 16:00:00,6149.199731819247,EUR,PYG
2016-11-19,2016-11-19 16:00:00,6119.47074344043,EUR,PYG
2016-11-20,2016-11-20 16:00:00,6119.699710834672,EUR,PYG
2016-11-21,2016-11-21 16:00:00,6115.277388497598,EUR,PYG
